DOI,Journal,Pub_year,StudyID,Species,Species_common,Phylum,Class,Order,Family,Genus,CohortID,Exp_groupID,Con_groupID,Data_source,Data_file,Comparisons,Con_Mean,Con_SE,Con_SD,Con_N,Exp_Mean,Exp_SE,Exp_SD,Exp_N
10.3389/fevo.2020.00131,Frontiers in Ecology and Evolution,2020,Aulsebrook_2020,Cygnus atratus,black swan,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Coh1,Exp1,Con1,Supplementary_fig7b,Aulsebrook_2020_figs7.PNG,First dark control vs. Two nights of white light ,17.018779,,5.651191,11,15.258216,,7.390019,11
10.3389/fevo.2020.00131,Frontiers in Ecology and Evolution,2020,Aulsebrook_2020,Cygnus atratus,black swan,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Coh2,Exp2,Con1,Supplementary_fig7b,Aulsebrook_2020_figs7.PNG,First dark control vs. Two nights of amber light,17.018779,,5.651191,11,11.150235,,2.173535,11
10.3389/fevo.2020.00131,Frontiers in Ecology and Evolution,2020,Aulsebrook_2020,Cygnus atratus,black swan,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Coh1,Exp3,Con2,Supplementary_fig7b,Aulsebrook_2020_figs7.PNG,Second dark control vs. 33* nights of white light,11.737089,,5.216484,11,12.323944,,9.998261,11
10.3389/fevo.2020.00131,Frontiers in Ecology and Evolution,2020,Aulsebrook_2020,Cygnus atratus,black swan,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Coh2,Exp4,Con2,Supplementary_fig7b,Aulsebrook_2020_figs7.PNG,Second dark control vs. 20 nights of amber light,11.737089,,5.216484,11,18.779343,,6.085898,11
10.2108/zsj.14.243,Zoological Science,1997,Iigo_1997a,Zacco platypus,Cyprinid teleost,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Zacco,Coh1,Exp1,Con1,Figs3&4,Iigo_1997_figs3&4.PNG,LD12:12(3) vs. LL(4),181.530343,40.105541,89.678716,5,88.790728,38.095970,85.185178,5
10.2108/zsj.14.243,Zoological Science,1997,Iigo_1997a,Zacco platypus,Cyprinid teleost,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Zacco,Coh1,Exp1,Con1,Figs3&4,Iigo_1997_figs3&4.PNG,LD12:12(3) vs. LL(4),82.321900,23.218997,51.919256,5,73.334166,22.063244,49.334913,5
10.2108/zsj.14.243,Zoological Science,1997,Iigo_1997a,Zacco platypus,Cyprinid teleost,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Zacco,Coh1,Exp1,Con1,Figs3&4,Iigo_1997_figs3&4.PNG,LD12:12(3) vs. LL(4),73.878628,21.108179,47.199324,5,82.491334,22.055561,49.317735,5
10.2108/zsj.14.243,Zoological Science,1997,Iigo_1997a,Zacco platypus,Cyprinid teleost,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Zacco,Coh1,Exp1,Con1,Figs3&4,Iigo_1997_figs3&4.PNG,LD12:12(3) vs. LL(4),512.928760,50.659631,113.278378,5,81.054764,20.058193,44.851482,5
10.2108/zsj.14.243,Zoological Science,1997,Iigo_1997a,Zacco platypus,Cyprinid teleost,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Zacco,Coh1,Exp1,Con1,Figs3&4,Iigo_1997_figs3&4.PNG,LD12:12(3) vs. LL(4),510.817942,56.992084,127.438175,5,73.610724,22.063244,49.334913,5
10.2108/zsj.14.243,Zoological Science,1997,Iigo_1997a,Zacco platypus,Cyprinid teleost,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Zacco,Coh1,Exp1,Con1,Figs3&4,Iigo_1997_figs3&4.PNG,LD12:12(3) vs. LL(4),662.796834,82.321900,184.077364,5,90.227297,20.050510,44.834304,5
